subject,object1,object2,object3
7002,3.89,3.12,0.62
7003,4.93,2.97,3.22
7005,4.05,4.05,1.9
7006,5.39,2.25,2.7
7007,3.4,2.48,1.65
7008,4.19,2.47,4.19
7010,2.12,1.27,2.12
7011,3.88,5.34,1.94
7015,7.32,4.19,2.35
7016,2.86,2.6,1.56
7017,5.27,5.27,5.02
7018,3.31,3.31,2.84
7019,2.47,0.31,1.24
7020,2.34,1.18,1.37
7021,3.9,2.23,5.57
7022,2.09,1.68,1.26
7023,3.11,2,2.22
7025,4.22,2,1.56
7027,2.49,3.17,3.85
7029,4.07,3.84,2.03
7030,4.3,2.33,3.5
7031,2.73,1.49,1.49
7032,3.79,0.25,2.27
7033,3.8,2.14,3.09
7034,2.78,1.92,3.63
