subject,freq,object
7002,3.89,object1
7003,4.93,object1
7005,4.05,object1
7006,5.39,object1
7007,3.4,object1
7008,4.19,object1
7010,2.12,object1
7011,3.88,object1
7015,7.32,object1
7016,2.86,object1
7017,5.27,object1
7018,3.31,object1
7019,2.47,object1
7020,2.34,object1
7021,3.9,object1
7022,2.09,object1
7023,3.11,object1
7025,4.22,object1
7027,2.49,object1
7029,4.07,object1
7030,4.3,object1
7031,2.73,object1
7032,3.79,object1
7033,3.8,object1
7034,2.78,object1
7002,3.12,object2
7003,2.97,object2
7005,4.05,object2
7006,2.25,object2
7007,2.48,object2
7008,2.47,object2
7010,1.27,object2
7011,5.34,object2
7015,4.19,object2
7016,2.6,object2
7017,5.27,object2
7018,3.31,object2
7019,0.31,object2
7020,1.18,object2
7021,2.23,object2
7022,1.68,object2
7023,2,object2
7025,2,object2
7027,3.17,object2
7029,3.84,object2
7030,2.33,object2
7031,1.49,object2
7032,0.25,object2
7033,2.14,object2
7034,1.92,object2
7002,0.62,object3
7003,3.22,object3
7005,1.9,object3
7006,2.7,object3
7007,1.65,object3
7008,4.19,object3
7010,2.12,object3
7011,1.94,object3
7015,2.35,object3
7016,1.56,object3
7017,5.02,object3
7018,2.84,object3
7019,1.24,object3
7020,1.37,object3
7021,5.57,object3
7022,1.26,object3
7023,2.22,object3
7025,1.56,object3
7027,3.85,object3
7029,2.03,object3
7030,3.5,object3
7031,1.49,object3
7032,2.27,object3
7033,3.09,object3
7034,3.63,object3
