contempt,defense,touch,dyad_type
3.89,3.12,0.62,mixed
4.93,2.97,3.22,mixed
4.05,4.05,1.9,mixed
5.39,2.25,2.7,mixed
3.4,2.48,1.65,mixed
4.19,2.47,4.19,mixed
2.12,1.27,2.12,mixed
3.88,5.34,1.94,mixed
7.32,4.19,2.35,mixed
2.86,2.6,1.56,mixed
5.27,5.27,5.02,mixed
3.31,3.31,2.84,mixed
2.47,0.31,1.24,mixed
2.34,1.18,1.37,mixed
3.9,2.23,5.57,same
2.09,1.68,1.26,same
3.11,2,2.22,same
4.22,2,1.56,same
2.49,3.17,3.85,same
4.07,3.84,2.03,same
4.3,2.33,3.5,same
2.73,1.49,1.49,same
3.79,0.25,2.27,same
3.8,2.14,3.09,same
2.78,1.92,3.63,same
