ID,Laps,Shoe
1,24,Hoka
2,13,Hoka
3,20,Hoka
4,24,Hoka
5,14,Hoka
6,27,Hoka
7,15,Hoka
8,14,Hoka
9,22,Hoka
10,14,Hoka
11,14,Hoka
12,46,Hoka
13,24,Hoka
14,45,Hoka
15,35,Hoka
16,35,Hoka
17,44,Hoka
18,43,Hoka
19,23,Hoka
20,28,Hoka
21,34,Hoka
22,20,Hoka
23,28,Hoka
24,18,Hoka
25,31,Hoka
26,19,Hoka
27,18,Hoka
28,20,Hoka
29,34,Hoka
30,33,Hoka
31,50,Hoka
32,39,Hoka
33,61,Hoka
34,39,Hoka
35,39,Hoka
36,48,Hoka
37,47,Hoka
38,27,Hoka
39,14,Hoka
40,29,Hoka
41,34,Hoka
42,24,Hoka
43,32,Hoka
44,14,Hoka
45,22,Hoka
46,31,Hoka
47,40,Hoka
48,23,Hoka
49,34,Hoka
50,20,Hoka
1,14,Nike
2,3,Nike
3,11,Nike
4,13,Nike
5,6,Nike
6,15,Nike
7,7,Nike
8,8,Nike
9,13,Nike
10,2,Nike
11,5,Nike
12,32,Nike
13,16,Nike
14,28,Nike
15,22,Nike
16,21,Nike
17,31,Nike
18,26,Nike
19,12,Nike
20,23,Nike
21,26,Nike
22,12,Nike
23,19,Nike
24,9,Nike
25,21,Nike
26,9,Nike
27,8,Nike
28,10,Nike
29,24,Nike
30,23,Nike
31,32,Nike
32,26,Nike
33,48,Nike
34,28,Nike
35,26,Nike
36,33,Nike
37,32,Nike
38,14,Nike
39,7,Nike
40,23,Nike
41,28,Nike
42,16,Nike
43,24,Nike
44,7,Nike
45,13,Nike
46,24,Nike
47,34,Nike
48,15,Nike
49,32,Nike
50,12,Nike
1,16,Brooks
2,4,Brooks
3,12,Brooks
4,16,Brooks
5,6,Brooks
6,19,Brooks
7,7,Brooks
8,6,Brooks
9,14,Brooks
10,6,Brooks
11,7,Brooks
12,38,Brooks
13,16,Brooks
14,37,Brooks
15,27,Brooks
16,27,Brooks
17,36,Brooks
18,35,Brooks
19,15,Brooks
20,20,Brooks
21,26,Brooks
22,12,Brooks
23,21,Brooks
24,10,Brooks
25,23,Brooks
26,11,Brooks
27,10,Brooks
28,12,Brooks
29,26,Brooks
30,25,Brooks
31,42,Brooks
32,31,Brooks
33,53,Brooks
34,31,Brooks
35,31,Brooks
36,40,Brooks
37,39,Brooks
38,19,Brooks
39,7,Brooks
40,21,Brooks
41,26,Brooks
42,16,Brooks
43,24,Brooks
44,6,Brooks
45,14,Brooks
46,23,Brooks
47,32,Brooks
48,15,Brooks
49,26,Brooks
50,12,Brooks
