ID,BFI_E,BFI_N,BFI_O,BFI_A,BFI_C,Rel_Sat
100,4.666666667,2.833333333,2.333333333,2.666666667,3,18
101,4,1.5,3.666666667,4.166666667,4.166666667,21
102,3.5,3.333333333,2.5,3.333333333,3,17
103,3.5,2.833333333,4.5,4.833333333,5,21
104,4,1.5,3,4.833333333,3.833333333,21
105,4,1.333333333,3.5,4.833333333,4.5,21
106,3.333333333,3.166666667,4,3.333333333,3.666666667,18
107,4.666666667,2.333333333,4.5,4.833333333,3.166666667,13
108,2.666666667,4.166666667,4,4.166666667,2.333333333,18
109,2.5,1.833333333,2.333333333,4.666666667,3.166666667,21
110,3.333333333,3.166666667,3.666666667,4.166666667,4,20
111,4,1.666666667,3.5,4.666666667,4.333333333,21
112,1.666666667,3.666666667,3.5,4.833333333,3.833333333,21
113,2.5,2.833333333,4.166666667,2.833333333,2,18
114,2.666666667,4.5,4.833333333,3.833333333,3.333333333,20
115,2.666666667,2.833333333,4.833333333,2.666666667,1.666666667,18
116,4,4.333333333,3.166666667,2.833333333,3.5,19
117,4.666666667,2.833333333,3.166666667,4.5,4.666666667,21
118,3.666666667,2.666666667,4.5,4.5,3.833333333,19
119,4.166666667,2,4.833333333,4.833333333,2.5,17
120,3.5,2.333333333,3.166666667,4.333333333,3.666666667,21
121,2.5,3,3.166666667,4.333333333,3.166666667,21
122,2.166666667,3.333333333,3.5,4,3.166666667,17
123,3,3.5,2.666666667,4.5,3.833333333,18
124,4.166666667,3.666666667,2.333333333,4,2.5,17
125,1.833333333,2.5,2.666666667,3.333333333,2.5,21
126,4.166666667,3.333333333,2.666666667,4.166666667,2.333333333,21
127,3.333333333,3.166666667,2.833333333,4,4,18
128,3.833333333,3,4.166666667,2.666666667,2.333333333,19
129,1.833333333,4.166666667,3.666666667,4.5,4.166666667,19
130,2.333333333,4.5,4.5,4.5,2.166666667,18
131,3,3,3,3,3,12
132,4.333333333,2.833333333,4.833333333,4.166666667,4,20
133,3.333333333,1.333333333,2.833333333,3,4.166666667,21
134,3.333333333,3.333333333,3.833333333,4.666666667,4,21
135,3.5,4,4.5,4.5,2.5,20
136,3.666666667,3.666666667,4.5,4.833333333,3.166666667,18
137,4.166666667,3.166666667,4.833333333,3.5,3.333333333,20
138,3.666666667,4.166666667,3.666666667,4.166666667,4.666666667,21
139,3.166666667,2.666666667,1.666666667,1.833333333,2.833333333,21
140,3.5,3,3.166666667,4.333333333,3.5,19
141,4,1.833333333,4,4.166666667,4.666666667,21
142,3.333333333,3.833333333,3.5,4.166666667,4.333333333,16
143,4.666666667,2,3.166666667,3.833333333,1.833333333,19
144,3.666666667,3.333333333,4.666666667,4.333333333,3.833333333,21
145,3.5,2.833333333,3.333333333,4.333333333,3,21
146,3.5,3.666666667,3.5,4,3,12
147,2.5,2.5,2.333333333,3.166666667,3.166666667,13
148,4.333333333,2.666666667,3.333333333,4.833333333,4.333333333,18
149,3.833333333,1.333333333,3.166666667,4.666666667,3.833333333,19
150,2.166666667,2.833333333,4.833333333,3.666666667,4.333333333,12
151,3.333333333,2.5,4.166666667,3.666666667,3,18
152,4,1.5,3.5,3.833333333,3.833333333,21
153,4,4.166666667,4.166666667,3.333333333,3.833333333,18
154,3,2.833333333,3.333333333,3.666666667,3.666666667,21
155,3.333333333,1.5,3.833333333,4.166666667,3.666666667,21
156,3.833333333,3.833333333,3.666666667,3.166666667,2.5,21
157,3.166666667,1.666666667,4.833333333,3.833333333,4.333333333,18
158,4.333333333,3.166666667,3.333333333,4.333333333,4.166666667,15
159,3,3.166666667,3.166666667,3.833333333,4.5,18
160,4.833333333,1.333333333,5,5,3.333333333,21
161,4.166666667,4.333333333,3.666666667,3.833333333,4.666666667,21
162,3.666666667,2.5,3.333333333,3.833333333,3.166666667,9
163,3.833333333,2.333333333,3.166666667,3.833333333,3.666666667,11
164,3.666666667,2.666666667,4,3.666666667,3.5,16
165,3,3,2.333333333,3.666666667,2.5,15
166,4.5,1.666666667,3.333333333,4.833333333,4.5,19
167,2.666666667,3.5,4.5,4.166666667,3.833333333,21
168,4.333333333,2.333333333,3.333333333,3.333333333,3.666666667,13
169,2.833333333,3.833333333,3.166666667,3.666666667,2.833333333,18
170,4.5,1.666666667,3,3.5,4.333333333,21
171,4.833333333,3,3.5,4.166666667,3.5,21
172,3.833333333,2.5,3.833333333,4,2.666666667,15
173,3,2.166666667,3.666666667,4,3.833333333,16
174,4,2.5,4.166666667,3.333333333,3.166666667,19
175,2,1.666666667,3.166666667,4,2.666666667,20
176,3.333333333,2.5,3.5,4.333333333,2.666666667,21
177,3.166666667,3.166666667,3.666666667,3.5,3,21
178,4,1,3.833333333,4.666666667,5,20
179,4.166666667,2.833333333,3.333333333,5,4.5,21
180,2.666666667,3.666666667,3.333333333,3.333333333,2.333333333,18
181,4.833333333,2.5,4.333333333,3.833333333,3.333333333,21
182,3.5,1.833333333,3.833333333,2.333333333,2,19
183,4.666666667,3.333333333,3.833333333,4.166666667,4.5,21
184,3.333333333,2.666666667,3.333333333,4.333333333,4.333333333,20
185,4,1.833333333,3.333333333,4.166666667,4.333333333,20
186,3.333333333,3,3.333333333,2.833333333,3,14
187,4.166666667,2.166666667,5,3.5,3.166666667,21
188,4.166666667,2.5,3.5,4,3.166666667,21
189,5,1.833333333,2.833333333,4.333333333,4.333333333,21
190,3,2.166666667,3.5,3.166666667,3,20
191,3.5,4.166666667,4.166666667,3.5,2.5,18
192,2,3.833333333,4.5,4,4.333333333,19
193,2.666666667,3.666666667,5,3.666666667,2.5,18
194,3.5,2.833333333,3.666666667,3.166666667,3.5,17
195,2.5,2,3.833333333,3.833333333,2.833333333,12
196,3.666666667,1.833333333,3.5,3.833333333,3.833333333,21
197,4,2.666666667,4.5,3.333333333,3.666666667,18
198,3.833333333,2.333333333,2.833333333,4,3.5,21
199,3,1.833333333,3.833333333,3.5,3.166666667,17
200,4.166666667,1.833333333,3,3.666666667,4.333333333,15
201,2.666666667,2.5,4.333333333,4.333333333,3.833333333,15
202,1.666666667,2.666666667,4.333333333,3.166666667,4.166666667,21
203,3.5,2.166666667,4,2.833333333,1.833333333,18
204,3.5,2,2.666666667,2.666666667,2.666666667,21
205,2.333333333,2.833333333,4.166666667,4.833333333,4,20
206,3.666666667,3.166666667,3.166666667,3.833333333,3.833333333,15
207,4.166666667,3.833333333,3.333333333,3,3,12
208,3.833333333,1.666666667,4,2.166666667,3,15
209,3.5,1.833333333,3.666666667,4.833333333,4,18
210,3.166666667,2.333333333,3.833333333,4.166666667,3.833333333,21
211,4,3.333333333,3.666666667,5,5,21
212,1.666666667,2.666666667,4.666666667,3.666666667,2.333333333,21
213,4.166666667,2.166666667,3.666666667,4.666666667,4.166666667,18
214,4,2.666666667,3.833333333,3.833333333,2,17
215,3.5,2.5,4.333333333,3.833333333,4,18
216,3.666666667,2.333333333,4.333333333,3.666666667,3.666666667,21
217,4.166666667,1.333333333,4,4.333333333,3,21
218,3.666666667,1.833333333,4.333333333,3.5,3.666666667,15
219,3.5,3.166666667,4.333333333,4.5,4,19
220,3.666666667,4,4,4.5,2.5,18
221,3,4.166666667,3.666666667,4,3,16
222,3.5,2.333333333,4.333333333,3.5,3.333333333,15
223,3.833333333,3.333333333,2.833333333,3,3,19
224,4,2.166666667,3.833333333,2.666666667,3.5,17
225,3.333333333,2.833333333,2.5,3.5,4.5,17
226,3.166666667,2,3.333333333,3.333333333,2.5,18
227,3.166666667,3.5,3.666666667,4.333333333,3.666666667,14
228,3.5,2.666666667,3.666666667,3.833333333,3.333333333,21
229,3.833333333,2.333333333,4.666666667,5,4.833333333,21
230,3.833333333,1.666666667,3.333333333,4.333333333,3.5,21
231,5,1.5,4,4.333333333,4.666666667,21
232,5,1.166666667,3.666666667,5,5,21
233,2.833333333,1.833333333,3.333333333,4.5,4.666666667,21
234,4.333333333,2.833333333,4.166666667,4.833333333,3.5,21
235,3.5,3.333333333,4,3.333333333,3.333333333,20
236,2.5,2.5,3.333333333,4.166666667,3.5,21
237,2.833333333,3,3.166666667,3.333333333,2.333333333,21
238,4,3,2.666666667,3.5,3.166666667,21
239,3.333333333,3,3.333333333,3.5,2.5,21
240,3.833333333,2.666666667,3.666666667,4,4.333333333,21
241,3.5,1.166666667,4,3.333333333,1.833333333,21
242,4.333333333,3.666666667,4.166666667,2.666666667,3,21
243,3.166666667,2.833333333,3.5,3.333333333,3.666666667,21
244,1.666666667,1.5,3.166666667,2.666666667,2.333333333,12
245,3.833333333,2.5,4.833333333,4.833333333,4.5,21
246,4,3,4.5,4.166666667,2.833333333,20
247,3.333333333,2.333333333,4.166666667,4.166666667,3.833333333,21
248,3.666666667,3.333333333,5,4.333333333,3.166666667,21
249,4.166666667,3.833333333,4.666666667,4.166666667,2.333333333,21
