ID,age,year,origin,music,socialmedia,pets,free.time,free.time_5_TEXT,stats,software,stats.topic,learning
1,21,Fourth year,Georgia!,Rock,Twitter/X,1,Other (please specify),Lounging and playing games,3,3,Hypothesis testing,Hands-on practice
2,21,Fourth year,Georgia!,Rap/Hip-hop,Instagram,2,Playing sports/exercising,,4,99,Data visualization,Hands-on practice
3,22,Fourth year,I'm an international student!,Rap/Hip-hop,Instagram,1,Other (please specify),Sketching ,2,99,Hypothesis testing,Watching videos
4,23,Fourth year,Georgia!,Indie,Instagram,1,Hanging out with friends,,2,2,Data visualization,Hands-on practice
5,21,Third year,Georgia!,Rock,Other,2,Other (please specify),Guitar,3,1,Descriptive statistics,Hands-on practice
6,21,Fourth year,Georgia!,Rap/Hip-hop,Tiktok,1,Playing sports/exercising,,3,1,"Research design (e.g., sampling, data collection techniques)",Hands-on practice
7,21,Fourth year,Georgia!,Rock,Instagram,2,Watching TV/movies,,2,1,Hypothesis testing,Watching videos
8,19,Other,Georgia!,Rock,Instagram,1,Watching TV/movies,,2,1,Hypothesis testing,Hands-on practice
9,23,Fourth year,Georgia!,Indie,Tiktok,1,Other (please specify),Crafting,4,3,Hypothesis testing,Listening to lectures
10,21,Third year,Georgia!,Indie,I don't use social media,1,Other (please specify),Playing music,3,2,Data visualization,Hands-on practice
11,22,Fourth year,Georgia!,Rap/Hip-hop,Instagram,2,Playing sports/exercising,,3,2,"Research design (e.g., sampling, data collection techniques)",Hands-on practice
12,21,Fourth year,Georgia!,Indie,Tiktok,1,Hanging out with friends,,3,99,Data visualization,Reading the textbook
13,34,Fourth year,Georgia!,EDM,Instagram,1,Watching TV/movies,,3,99,Data visualization,Hands-on practice
14,22,Other,Georgia!,Rap/Hip-hop,Instagram,1,Hanging out with friends,,2,99,Data visualization,Hands-on practice
